Date,SPY,TLT,MSFT
1-22-2008,107.128365,71.235817,25.173265
1-23-2008,109.701683,71.073441,25.149639
1-24-2008,110.627754,69.648865,26.189337
1-25-2008,109.029671,70.822449,25.945164
1-28-2008,110.832611,70.556755,25.771883
1-29-2008,111.381714,70.076996,25.677366
1-30-2008,110.56218,69.619354,25.362305
1-31-2008,112.578209,70.113869,25.677366
2-1-2008,114.389389,70.535286,23.983913
2-4-2008,112.947037,69.809456,23.779123
2-5-2008,109.922951,70.342766,22.896961
2-6-2008,109.037842,70.12793,22.463753
2-7-2008,109.759033,68.616989,22.148695
2-8-2008,109.054283,69.402069,22.495255
2-11-2008,109.611542,69.690926,22.219582
2-12-2008,110.627754,69.276146,22.32197
2-13-2008,111.75869,68.542908,22.81032
2-14-2008,110.775276,67.535545,22.448006
2-15-2008,110.750664,68.054001,22.384991
2-19-2008,111.062065,67.365173,22.274294
2-20-2008,111.389893,67.831818,22.313822
2-21-2008,110.463814,68.550308,22.218941
2-22-2008,111.144058,68.157745,21.886839
2-25-2008,112.545418,67.461464,22.013353
2-26-2008,113.389534,67.483711,22.440338
2-27-2008,113.274796,67.542976,22.345449
2-28-2008,112.168434,68.742905,22.084522
2-29-2008,109.668915,69.794647,21.507299
3-3-2008,109.406647,69.614716,21.341249
3-4-2008,108.98867,68.938164,21.815676
3-5-2008,109.677109,68.113029,22.234751
3-6-2008,107.407005,68.477272,21.799864
3-7-2008,106.300644,68.566528,22.037075
3-10-2008,104.899254,69.577583,22.179398
3-11-2008,108.669067,68.982765,23.151974
3-12-2008,107.65287,70.313507,22.63801
3-13-2008,107.890526,69.76339,22.63011
3-14-2008,106.218697,70.625748,22.108242
3-17-2008,105.145119,71.168495,22.377081
3-18-2008,109.513191,70.893387,23.262672
3-19-2008,106.800568,72.068077,22.63011
3-20-2008,108.778816,72.246452,23.072905
3-24-2008,110.953056,70.848785,23.064999
3-25-2008,111.06012,71.146187,23.041275
3-26-2008,109.701202,70.848785,22.582663
3-27-2008,109.355286,70.350708,22.179398
3-28-2008,108.309364,71.034653,22.068701
3-31-2008,108.68824,71.287476,22.440338
4-1-2008,112.509613,70.12722,23.325933
4-2-2008,112.583725,70.276512,23.057089
4-3-2008,112.863785,70.433372,22.930573
4-4-2008,112.740227,71.075409,23.057089
4-7-2008,112.797905,70.702103,23.057089
4-8-2008,112.682579,70.45575,22.732903
4-9-2008,111.867226,71.187393,22.843603
4-10-2008,112.023727,70.948479,23.017559
4-11-2008,109.849495,71.426331,22.361273
4-14-2008,109.478836,71.008209,22.187309
4-15-2008,109.734169,70.12722,22.337542
4-16-2008,112.707283,69.440399,22.891048
4-17-2008,112.872009,69.320938,23.10453
4-18-2008,114.049728,69.261192,23.721292
4-21-2008,114.107361,69.537445,24.053385
4-22-2008,113.604996,69.776329,23.918964
4-23-2008,113.423813,69.544914,24.867819
4-24-2008,113.917961,68.955078,25.144562
4-25-2008,114.97216,68.551888,23.586868
4-28-2008,114.996857,68.760963,22.922674
4-29-2008,114.543907,69.022301,22.645926
4-30-2008,113.868538,69.515053,22.551035
5-1-2008,116.224007,69.519524,23.246864
5-2-2008,116.545174,68.642815,23.120346
5-5-2008,115.985138,68.642815,22.993832
5-6-2008,116.989914,68.148338,23.484076
5-7-2008,114.906281,68.440567,23.096626
5-8-2008,114.609718,69.054977,23.14407
5-9-2008,114.39563,69.309708,23.238955
5-12-2008,115.680435,69.204849,23.713377
5-13-2008,115.696877,68.448021,23.634014
5-14-2008,115.935738,68.478004,23.753059
5-15-2008,117.385254,69.099937,24.165743
5-16-2008,117.492332,68.815186,23.800678
5-19-2008,117.813461,68.905075,23.38006
5-20-2008,116.858139,69.264763,22.824528
5-21-2008,114.881577,69.279739,22.419777
5-22-2008,114.898018,68.463036,22.594374
5-23-2008,113.357941,68.762726,22.261053
